Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Broad money growth (annual %),FM.LBL.BMNY.ZG,Moldova,MDA,19.6554901860289,11.2814947779343,5.27126725973233,18.3157125906104,13.7338877091306
Broad money growth (annual %),FM.LBL.BMNY.ZG,Monaco,MCO,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mongolia,MNG,17.5058478385063,13.8179148023337,6.46484823716739,26.8306918731148,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Montenegro,MNE,-3.74832970766726,15.6110722160739,22.9484874855143,11.9691106223213,9.90528108977512
Broad money growth (annual %),FM.LBL.BMNY.ZG,Morocco,MAR,8.36179141868821,5.09394192746299,8.01359504265407,3.91375528110208,8.00403772257982
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mozambique,MOZ,23.2776258654505,1.87914680484284,8.7360820549451,3.54571072317434,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Myanmar,MMR,18.1773771157293,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Namibia,NAM,8.07704826577038,6.76114008751548,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nauru,NRU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nepal,NPL,22.1139143932736,14.6916316108794,7.64288447145372,14.5599019966811,11.2243726059449
Broad money growth (annual %),FM.LBL.BMNY.ZG,Netherlands,NLD,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,New Caledonia,NCL,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,New Zealand,NZL,12.1779427157231,7.05943403469145,1.8325450583825,3.56339694999693,4.1348258816056
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nicaragua,NIC,15.6277946771385,13.8230904087894,11.3318996335419,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Niger,NER,17.0145203711137,9.72874157000328,11.9227225133545,-0.924792570898072,6.91700146097394
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nigeria,NGA,11.6325456444644,14.2374143355273,17.4226051694979,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,North Macedonia,MKD,7.97042757225559,8.83069218060799,5.27630784445662,5.89462107968648,10.2036928292063
Broad money growth (annual %),FM.LBL.BMNY.ZG,Northern Mariana Islands,MNP,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Norway,NOR,12.158774076833,10.5019184861607,5.54670209272964,0.433080320796381,3.44876298069181
Broad money growth (annual %),FM.LBL.BMNY.ZG,Oman,OMN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Pakistan,PAK,15.6327085508701,10.4193580639993,7.41151860135504,16.25306317539,12.5141461807046
Broad money growth (annual %),FM.LBL.BMNY.ZG,Palau,PLW,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Panama,PAN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Papua New Guinea,PNG,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Paraguay,PRY,19.2223570247061,8.308153991536,4.12245860148309,8.70633273962142,10.9370393827122
Broad money growth (annual %),FM.LBL.BMNY.ZG,Peru,PER,38.2852960296511,2.88013991595159,9.31212092014772,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Philippines,PHL,8.65773205885667,7.98026843394554,7.82033923932235,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Poland,POL,16.4293093435368,8.91363801981589,5.24723702348228,8.53585796595824,9.24118159464556
Broad money growth (annual %),FM.LBL.BMNY.ZG,Portugal,PRT,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Puerto Rico (US),PRI,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Qatar,QAT,3.7860600365632,1.43580350369261,17.4168361133101,1.14400394803619,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Romania,ROU,15.3130692590717,15.814728647084,6.84221114412418,10.5042570699552,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Russian Federation,RUS,16.656413911723,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Rwanda,RWA,21.4279673585105,18.2715266588691,22.9141984849565,24.7623627315429,18.7637891605617
Broad money growth (annual %),FM.LBL.BMNY.ZG,Samoa,WSM,5.3937475107916,1.68986229504192,7.33278583124617,13.6771953531933,8.87946110500979
Broad money growth (annual %),FM.LBL.BMNY.ZG,San Marino,SMR,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sao Tome and Principe,STP,10.6045738916261,-2.59618359858698,9.03651751858256,5.99491602853105,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Saudi Arabia,SAU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Senegal,SEN,12.3385377863321,15.340598354988,21.5700223985475,9.60913886739405,3.85503346352583
Broad money growth (annual %),FM.LBL.BMNY.ZG,Serbia,SRB,18.1050223040969,13.2933558898644,6.85871887093123,12.6586446049278,13.5161266988992
Broad money growth (annual %),FM.LBL.BMNY.ZG,Seychelles,SYC,27.2142827863356,-5.09283346219056,0.604964445976114,5.72811011607558,7.39795412289509
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sierra Leone,SLE,38.1799410598493,22.0520191857773,41.7442087119149,32.8257328479182,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Singapore,SGP,13.1910292122895,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Slovak Republic,SVK,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Slovenia,SVN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Solomon Islands,SLB,6.61389325997636,1.94180166520137,5.26420081408539,6.12804982109463,3.83484601116453
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Somalia, Fed. Rep.",SOM,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,South Africa,ZAF,9.42732646118054,5.70998519867421,8.63772594295266,7.59374277685431,6.70914778555201
Broad money growth (annual %),FM.LBL.BMNY.ZG,South Sudan,SSD,56.5035011024353,55.2829568110752,90.8329253986324,63.3956882552959,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Spain,ESP,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sri Lanka,LKA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,St. Kitts and Nevis,KNA,-8.12324956754765,8.86009200757074,3.73967844766488,-1.85401968785127,2.48999966554187
Broad money growth (annual %),FM.LBL.BMNY.ZG,St. Lucia,LCA,-12.6896668720706,14.8643979502173,4.05488797374227,10.9785206418604,10.8363508383598
Broad money growth (annual %),FM.LBL.BMNY.ZG,St. Martin (French part),MAF,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,St. Vincent and the Grenadines,VCT,-6.55817326811951,12.7816112543839,0.181967367186715,3.76903777383116,15.8004970675784
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sudan,SDN,87.9913831302034,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Suriname,SUR,62.0542995477968,43.9068241723904,46.8548557834865,19.6155013570744,9.79102070573258
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sweden,SWE,18.1336662046918,10.4475315520707,2.87099561636584,-1.2815143580151,0.301081472545606
Broad money growth (annual %),FM.LBL.BMNY.ZG,Switzerland,CHE,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Syrian Arab Republic,SYR,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Tajikistan,TJK,18.4979035405517,8.17895855197132,-7.56058170780225,50.6446808716,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Tanzania,TZA,5.67729156224582,15.499292263209,11.6383030690923,14.0553470430988,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Thailand,THA,10.159916138524,4.80510932600992,3.87577190401605,1.95048091318844,3.37137348349013
Broad money growth (annual %),FM.LBL.BMNY.ZG,Timor-Leste,TLS,10.613656234832,28.2876980986845,8.60509618570337,2.7090733979556,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Togo,TGO,11.5850928864143,12.2797760765898,15.3624655849792,6.67641434676608,8.65532235843912
Broad money growth (annual %),FM.LBL.BMNY.ZG,Tonga,TON,17.4805288891808,16.1189729727304,3.60913122262904,1.99100324919598,7.98532028976555
Broad money growth (annual %),FM.LBL.BMNY.ZG,Trinidad and Tobago,TTO,7.12486920321093,1.67773922794864,1.86699431028495,1.39534471683338,1.4593314236195
Broad money growth (annual %),FM.LBL.BMNY.ZG,Tunisia,TUN,10.312212913936,8.68328822281859,9.13387825590637,8.95360388445458,10.4161252870853
Broad money growth (annual %),FM.LBL.BMNY.ZG,Turkiye,TUR,34.2428853167296,52.5179442604431,60.3393272630693,69.9363518878266,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Turkmenistan,TKM,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Turks and Caicos Islands,TCA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Tuvalu,TUV,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Uganda,UGA,17.1323242180716,5.03542937653591,7.50270902859625,10.6648539317608,6.67709941840918
Broad money growth (annual %),FM.LBL.BMNY.ZG,Ukraine,UKR,28.6236079216128,11.9648544109257,20.7720424103957,23.007631520217,13.3625871185497
Broad money growth (annual %),FM.LBL.BMNY.ZG,United Arab Emirates,ARE,4.63080770411969,5.70929259769499,8.99537755314214,18.7400983197593,14.5683423583929
Broad money growth (annual %),FM.LBL.BMNY.ZG,United Kingdom,GBR,9.7064401774406,9.73272949147508,8.60749957375268,-2.63048241290666,2.56374043540393
Broad money growth (annual %),FM.LBL.BMNY.ZG,United States,USA,17.1995063481486,16.8566833650737,-0.842802579864598,1.77639499168722,5.38685537004172
Broad money growth (annual %),FM.LBL.BMNY.ZG,Uruguay,URY,24.3264847907326,16.817337622646,-1.7165266255559,1.3380817256915,15.9497006959686
Broad money growth (annual %),FM.LBL.BMNY.ZG,Uzbekistan,UZB,17.7006473999362,29.6776167679218,30.174954487344,12.1643927892729,30.6377532137657
Broad money growth (annual %),FM.LBL.BMNY.ZG,Vanuatu,VUT,-0.559056477213318,8.87194116360697,7.32082278574917,5.94567489957422,9.56848519799756
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Venezuela, RB",VEN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Viet Nam,VNM,13.6334900036844,9.67595141463418,5.67940973729915,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Virgin Islands (U.S.),VIR,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,West Bank and Gaza,PSE,13.8858419798361,8.25739902138892,-0.124825212864048,6.79569100800766,7.09952248086783
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Yemen, Rep.",YEM,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Zambia,ZMB,46.4435493408136,3.65702508304101,24.503893776855,24.5799613166838,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Zimbabwe,ZWE,485.547045499664,131.829477898324,391.883944100134,708.928599788008,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Africa Eastern and Southern,AFE,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Africa Western and Central,AFW,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Arab World,ARB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Caribbean small states,CSS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Central Europe and the Baltics,CEB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Early-demographic dividend,EAR,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,East Asia & Pacific,EAS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Euro area,EMU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Europe & Central Asia,ECS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,European Union,EUU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Fragile and conflict affected situations,FCS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,High income,HIC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,IBRD only,IBD,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,IDA & IBRD total,IBT,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,IDA blend,IDB,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,IDA only,IDX,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,IDA total,IDA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Late-demographic dividend,LTE,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Latin America & Caribbean,LCN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Least developed countries: UN classification,LDC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Low & middle income,LMY,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Low income,LIC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Lower middle income,LMC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Middle East, North Africa, Afghanistan & Pakistan",MEA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Middle income,MIC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,North America,NAC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Not classified,INX,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,OECD members,OED,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Other small states,OSS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Pacific island small states,PSS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Post-demographic dividend,PST,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Pre-demographic dividend,PRE,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Small states,SST,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,South Asia,SAS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,South Asia (IDA & IBRD),TSA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sub-Saharan Africa,SSF,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Upper middle income,UMC,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,World,WLD,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,
